configuration,files_tested,avg_compression_ratio,avg_compression_throughput,avg_decompression_throughput,success_rate,error_bound,timestamp,log_file
0.original,77,5.96848,0.457226,0.531962,100.0,0.0001,2025-04-25 14:45:59,hawkzip_test_20250425_144522.log
1.comments+threads_16,77,5.968706,1.373768,1.496163,100.0,0.0001,2025-04-25 14:46:19,hawkzip_test_20250425_144559.log
2.threads_38,77,5.96839,2.569883,2.824216,100.0,0.0001,2025-04-25 14:46:35,hawkzip_test_20250425_144619.log
3.threads_76,77,5.967301,2.211321,2.661422,100.0,0.0001,2025-04-25 14:46:54,hawkzip_test_20250425_144636.log
4.threads_152,77,5.965291,2.077265,3.717238,97.4,0.0001,2025-04-25 14:47:12,hawkzip_test_20250425_144654.log
5.threads_32,77,5.968091,2.342418,2.771956,100.0,0.0001,2025-04-25 14:47:29,hawkzip_test_20250425_144712.log
6.threads_152+UnrollingPacking,77,5.968185,2.760619,4.317547,100.0,0.0001,2025-04-25 14:47:45,hawkzip_test_20250425_144729.log
7.Unrolled+32Threads,77,5.968091,2.294751,4.181392,100.0,0.0001,2025-04-25 14:48:01,hawkzip_test_20250425_144745.log
8.V7+Memcpy,77,5.968091,2.299273,3.735551,100.0,0.0001,2025-04-25 14:48:18,hawkzip_test_20250425_144801.log
9.threads_70+VariableRearangement,77,5.968185,2.752364,4.31194,100.0,0.0001,2025-04-25 14:48:34,hawkzip_test_20250425_144818.log
